h,Tilt angle β,δ (declinación),cos(θ) formula 1,cos(θ) formula 2,A,Latitude φ,cos(δ),sin(δ),cos(β),sin(β),cos(ω),sin(ω),cos(y),sin(y),cos(φ),sin(φ),Zenit,Rb
1,0,-23.01163673,0.348113726,0.735362179,5.4,19.32361,0.920425477,-0.390918074,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.735362179,1
2,0,-22.93054361,0.346953304,0.736312312,5.4,19.32361,0.920977838,-0.389614966,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.736312312,1
3,0,-22.84265567,0.345694866,0.737340391,5.4,19.32361,0.921574398,-0.388201789,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.737340391,1
4,0,-22.74799897,0.344338598,0.738445708,5.4,19.32361,0.922214477,-0.386678754,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.738445708,1
5,0,-22.64660154,0.342884705,0.739627501,5.4,19.32361,0.922897345,-0.385046089,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.739627501,1
6,0,-22.53849343,0.341333407,0.740884955,5.4,19.32361,0.923622223,-0.383304043,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.740884955,1
7,0,-22.42370668,0.339684945,0.742217205,5.4,19.32361,0.924388283,-0.381452884,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.742217205,1
8,0,-22.30227531,0.337939574,0.743623332,5.4,19.32361,0.925194649,-0.379492901,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.743623332,1
9,0,-22.17423529,0.336097572,0.745102366,5.4,19.32361,0.926040398,-0.377424404,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.745102366,1
10,0,-22.03962456,0.334159232,0.746653288,5.4,19.32361,0.926924563,-0.375247725,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.746653288,1
11,0,-21.89848302,0.332124871,0.748275029,5.4,19.32361,0.927846129,-0.372963217,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.748275029,1
12,0,-21.75085248,0.329994823,0.749966471,5.4,19.32361,0.928804039,-0.370571257,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.749966471,1
13,0,-21.5967767,0.327769446,0.751726448,5.4,19.32361,0.929797194,-0.368072245,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.751726448,1
14,0,-21.43630132,0.325449117,0.753553746,5.4,19.32361,0.930824451,-0.365466607,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.753553746,1
15,0,-21.26947391,0.323034238,0.755447107,5.4,19.32361,0.931884629,-0.362754792,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.755447107,1
16,0,-21.09634389,0.32052523,0.757405225,5.4,19.32361,0.932976505,-0.359937275,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.757405225,1
17,0,-20.91696257,0.317922542,0.75942675,5.4,19.32361,0.93409882,-0.357014558,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.75942675,1
18,0,-20.73138311,0.315226644,0.761510292,5.4,19.32361,0.935250279,-0.35398717,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.761510292,1
19,0,-20.53966049,0.312438031,0.763654413,5.4,19.32361,0.936429549,-0.350855667,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.763654413,1
20,0,-20.34185152,0.309557227,0.765857638,5.4,19.32361,0.937635266,-0.347620637,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.765857638,1
21,0,-20.13801482,0.306584778,0.768118451,5.4,19.32361,0.938866033,-0.344282693,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.768118451,1
22,0,-19.9282108,0.303521258,0.770435296,5.4,19.32361,0.94012042,-0.34084248,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.770435296,1
23,0,-19.71250161,0.300367269,0.772806581,5.4,19.32361,0.94139697,-0.337300674,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.772806581,1
24,0,-19.49095119,0.297123441,0.775230675,5.4,19.32361,0.942694198,-0.333657982,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.775230675,1
25,0,-19.26362517,0.293790432,0.777705913,5.4,19.32361,0.944010592,-0.329915144,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.777705913,1
26,0,-19.03059093,0.290368931,0.780230598,5.4,19.32361,0.945344616,-0.326072932,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.780230598,1
27,0,-18.79191752,0.286859654,0.782802999,5.4,19.32361,0.946694711,-0.322132152,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.782802999,1
28,0,-18.54767565,0.28326335,0.785421352,5.4,19.32361,0.948059299,-0.318093644,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.785421352,1
29,0,-18.29793771,0.279580799,0.788083867,5.4,19.32361,0.949436779,-0.313958282,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.788083867,1
30,0,-18.04277769,0.275812809,0.790788724,5.4,19.32361,0.950825536,-0.309726978,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.790788724,1
31,0,-17.78227121,0.271960225,0.793534077,5.4,19.32361,0.952223937,-0.305400677,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.793534077,1
32,0,-17.51649546,0.268023921,0.796318055,5.4,19.32361,0.953630338,-0.300980362,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.796318055,1
33,0,-17.24552919,0.264004806,0.799138762,5.4,19.32361,0.955043081,-0.296467054,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.799138762,1
34,0,-16.9694527,0.259903822,0.801994284,5.4,19.32361,0.956460498,-0.291861808,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.801994284,1
35,0,-16.68834779,0.255721943,0.804882683,5.4,19.32361,0.957880915,-0.287165722,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.804882683,1
36,0,-16.40229777,0.251460179,0.807802005,5.4,19.32361,0.959302651,-0.282379929,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.807802005,1
37,0,-16.11138739,0.247119575,0.810750279,5.4,19.32361,0.96072402,-0.2775056,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.810750279,1
38,0,-15.81570286,0.242701209,0.813725519,5.4,19.32361,0.962143334,-0.272543949,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.813725519,1
39,0,-15.5153318,0.238206196,0.816725726,5.4,19.32361,0.963558908,-0.267496225,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.816725726,1
40,0,-15.21036321,0.233635684,0.819748889,5.4,19.32361,0.964969056,-0.262363719,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.819748889,1
41,0,-14.90088746,0.228990858,0.822792991,5.4,19.32361,0.966372096,-0.257147761,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.822792991,1
42,0,-14.58699625,0.224272938,0.825856002,5.4,19.32361,0.967766355,-0.251849722,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.825856002,1
43,0,-14.2687826,0.21948318,0.828935892,5.4,19.32361,0.969150164,-0.246471011,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.828935892,1
44,0,-13.94634081,0.214622875,0.832030623,5.4,19.32361,0.970521868,-0.241013079,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.832030623,1
45,0,-13.61976641,0.209693349,0.835138158,5.4,19.32361,0.971879821,-0.235477415,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.835138158,1
46,0,-13.28915619,0.204695966,0.838256459,5.4,19.32361,0.973222395,-0.229865549,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.838256459,1
47,0,-12.95460809,0.199632122,0.841383491,5.4,19.32361,0.974547974,-0.224179051,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.841383491,1
48,0,-12.61622127,0.19450325,0.844517222,5.4,19.32361,0.975854963,-0.218419529,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.844517222,1
49,0,-12.27409599,0.189310819,0.847655626,5.4,19.32361,0.977141788,-0.212588632,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.847655626,1
50,0,-11.92833363,0.184056331,0.850796687,5.4,19.32361,0.978406894,-0.206688048,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.850796687,1
51,0,-11.57903665,0.178741322,0.853938397,5.4,19.32361,0.979648754,-0.200719501,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.853938397,1
52,0,-11.22630855,0.173367364,0.857078761,5.4,19.32361,0.980865865,-0.194684757,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.857078761,1
53,0,-10.87025385,0.16793606,0.860215798,5.4,19.32361,0.982056753,-0.188585616,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.860215798,1
54,0,-10.51097806,0.162449049,0.863347542,5.4,19.32361,0.983219973,-0.182423917,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.863347542,1
55,0,-10.14858765,0.156908,0.866472046,5.4,19.32361,0.984354112,-0.176201536,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.866472046,1
56,0,-9.783189981,0.151314614,0.869587383,5.4,19.32361,0.985457794,-0.169920383,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.869587383,1
57,0,-9.414893347,0.145670625,0.872691647,5.4,19.32361,0.986529674,-0.163582404,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.872691647,1
58,0,-9.043806876,0.139977796,0.875782956,5.4,19.32361,0.987568446,-0.15718958,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.875782956,1
59,0,-8.670040531,0.13423792,0.878859454,5.4,19.32361,0.988572845,-0.150743925,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.878859454,1
60,0,-8.293705065,0.12845282,0.881919311,5.4,19.32361,0.989541643,-0.144247484,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.881919311,1
61,0,-7.914911995,0.122624345,0.884960728,5.4,19.32361,0.990473658,-0.137702335,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.884960728,1
62,0,-7.533773567,0.116754373,0.887981937,5.4,19.32361,0.991367749,-0.131110587,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.887981937,1
63,0,-7.150402718,0.110844808,0.890981202,5.4,19.32361,0.992222823,-0.124474377,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.890981202,1
64,0,-6.764913051,0.104897579,0.893956823,5.4,19.32361,0.99303783,-0.117795871,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.893956823,1
65,0,-6.377418794,0.098914638,0.896907134,5.4,19.32361,0.993811774,-0.111077263,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.896907134,1
66,0,-5.98803477,0.092897963,0.899830509,5.4,19.32361,0.994543703,-0.104320772,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.899830509,1
67,0,-5.596876363,0.08684955,0.902725361,5.4,19.32361,0.995232719,-0.097528642,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.902725361,1
68,0,-5.20405948,0.08077142,0.905590146,5.4,19.32361,0.995877975,-0.09070314,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.905590146,1
69,0,-4.809700522,0.07466561,0.908423359,5.4,19.32361,0.996478678,-0.083846554,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.908423359,1
70,0,-4.413916346,0.068534178,0.911223542,5.4,19.32361,0.997034089,-0.076961196,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.911223542,1
71,0,-4.016824231,0.062379197,0.913989283,5.4,19.32361,0.997543524,-0.070049394,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.913989283,1
72,0,-3.618541845,0.056202757,0.916719214,5.4,19.32361,0.998006356,-0.063113494,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.916719214,1
73,0,-3.219187206,0.050006963,0.91941202,5.4,19.32361,0.998422015,-0.05615586,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.91941202,1
74,0,-2.818878653,0.043793931,0.922066431,5.4,19.32361,0.998789987,-0.049178868,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.922066431,1
75,0,-2.417734805,0.037565791,0.92468123,5.4,19.32361,0.99910982,-0.042184911,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.92468123,1
76,0,-2.01587453,0.031324681,0.927255252,5.4,19.32361,0.999381119,-0.035176389,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.927255252,1
77,0,-1.613416909,0.02507275,0.929787383,5.4,19.32361,0.999603549,-0.028155716,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.929787383,1
78,0,-1.210481196,0.018812153,0.932276566,5.4,19.32361,0.999776836,-0.021125311,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.932276566,1
79,0,-0.807186793,0.012545051,0.934721796,5.4,19.32361,0.999900765,-0.014087601,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.934721796,1
80,0,-0.403653202,0.006273611,0.937122124,5.4,19.32361,0.999975184,-0.007045019,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.937122124,1
81,0,-5.74359E-15,1.46794E-16,0.939476658,5.4,19.32361,1,-1.00245E-16,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.939476658,1
82,0,0.403653202,-0.006273611,0.941784564,5.4,19.32361,0.999975184,0.007045019,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.941784564,1
83,0,0.807186793,-0.012545051,0.944045063,5.4,19.32361,0.999900765,0.014087601,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.944045063,1
84,0,1.210481196,-0.018812153,0.946257435,5.4,19.32361,0.999776836,0.021125311,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.946257435,1
85,0,1.613416909,-0.02507275,0.948421021,5.4,19.32361,0.999603549,0.028155716,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.948421021,1
86,0,2.01587453,-0.031324681,0.950535217,5.4,19.32361,0.999381119,0.035176389,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.950535217,1
87,0,2.417734805,-0.037565791,0.952599481,5.4,19.32361,0.99910982,0.042184911,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.952599481,1
88,0,2.818878653,-0.043793931,0.954613329,5.4,19.32361,0.998789987,0.049178868,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.954613329,1
89,0,3.219187206,-0.050006963,0.956576336,5.4,19.32361,0.998422015,0.05615586,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.956576336,1
90,0,3.618541845,-0.056202757,0.958488139,5.4,19.32361,0.998006356,0.063113494,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.958488139,1
91,0,4.016824231,-0.062379197,0.960348431,5.4,19.32361,0.997543524,0.070049394,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.960348431,1
92,0,4.413916346,-0.068534178,0.962156966,5.4,19.32361,0.997034089,0.076961196,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.962156966,1
93,0,4.809700522,-0.07466561,0.963913558,5.4,19.32361,0.996478678,0.083846554,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.963913558,1
94,0,5.20405948,-0.08077142,0.965618078,5.4,19.32361,0.995877975,0.09070314,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.965618078,1
95,0,5.596876363,-0.08684955,0.967270456,5.4,19.32361,0.995232719,0.097528642,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.967270456,1
96,0,5.98803477,-0.092897963,0.96887068,5.4,19.32361,0.994543703,0.104320772,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.96887068,1
97,0,6.377418794,-0.098914638,0.970418795,5.4,19.32361,0.993811774,0.111077263,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.970418795,1
98,0,6.764913051,-0.104897579,0.971914903,5.4,19.32361,0.99303783,0.117795871,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.971914903,1
99,0,7.150402718,-0.110844808,0.973359161,5.4,19.32361,0.992222823,0.124474377,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.973359161,1
100,0,7.533773567,-0.116754373,0.974751783,5.4,19.32361,0.991367749,0.131110587,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.974751783,1
101,0,7.914911995,-0.122624345,0.976093036,5.4,19.32361,0.990473658,0.137702335,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.976093036,1
102,0,8.293705065,-0.12845282,0.977383242,5.4,19.32361,0.989541643,0.144247484,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.977383242,1
103,0,8.670040531,-0.13423792,0.978622772,5.4,19.32361,0.988572845,0.150743925,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.978622772,1
104,0,9.043806876,-0.139977796,0.979812051,5.4,19.32361,0.987568446,0.15718958,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.979812051,1
105,0,9.414893347,-0.145670625,0.980951555,5.4,19.32361,0.986529674,0.163582404,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.980951555,1
106,0,9.783189981,-0.151314614,0.982041807,5.4,19.32361,0.985457794,0.169920383,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.982041807,1
107,0,10.14858765,-0.156908,0.983083378,5.4,19.32361,0.984354112,0.176201536,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.983083378,1
108,0,10.51097806,-0.162449049,0.984076887,5.4,19.32361,0.983219973,0.182423917,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.984076887,1
109,0,10.87025385,-0.16793606,0.985022995,5.4,19.32361,0.982056753,0.188585616,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.985022995,1
110,0,11.22630855,-0.173367364,0.98592241,5.4,19.32361,0.980865865,0.194684757,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.98592241,1
111,0,11.57903665,-0.178741322,0.986775879,5.4,19.32361,0.979648754,0.200719501,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.986775879,1
112,0,11.92833363,-0.184056331,0.987584192,5.4,19.32361,0.978406894,0.206688048,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.987584192,1
113,0,12.27409599,-0.189310819,0.988348177,5.4,19.32361,0.977141788,0.212588632,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.988348177,1
114,0,12.61622127,-0.19450325,0.989068698,5.4,19.32361,0.975854963,0.218419529,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.989068698,1
115,0,12.95460809,-0.199632122,0.989746657,5.4,19.32361,0.974547974,0.224179051,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.989746657,1
116,0,13.28915619,-0.204695966,0.990382987,5.4,19.32361,0.973222395,0.229865549,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.990382987,1
117,0,13.61976641,-0.209693349,0.990978656,5.4,19.32361,0.971879821,0.235477415,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.990978656,1
118,0,13.94634081,-0.214622875,0.991534659,5.4,19.32361,0.970521868,0.241013079,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.991534659,1
119,0,14.2687826,-0.21948318,0.992052023,5.4,19.32361,0.969150164,0.246471011,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.992052023,1
120,0,14.58699625,-0.224272938,0.9925318,5.4,19.32361,0.967766355,0.251849722,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.9925318,1
121,0,14.90088746,-0.228990858,0.992975065,5.4,19.32361,0.966372096,0.257147761,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.992975065,1
